StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1#1_1,Q1#1_2,Q1#1_3,Q1#1_4,Q1#1_5,Q1#1_6,Q1#1_7,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,RandomSurveyID
2024-10-16 12:39:38,2024-10-16 12:42:26,0,162.253.252.171,100,167,1,2024-10-16 12:42:26,R_7yP3OGTB2UDhQZj,,,,,45.413,-75.7011,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,71902
2024-10-16 12:41:01,2024-10-16 12:43:47,0,139.171.164.202,100,166,1,2024-10-16 12:43:48,R_64cj0BR1BnwtFVD,,,,,43.1139,-79.0425,anonymous,EN,1,1,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,,1,1,2,71580
2024-10-16 12:43:08,2024-10-16 12:43:57,0,162.253.252.104,100,49,1,2024-10-16 12:43:57,R_7wRgTYnmc3KnC1O,,,,,45.413,-75.7011,anonymous,EN,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,49461
2024-10-16 12:43:15,2024-10-16 12:44:43,0,139.171.169.113,100,88,1,2024-10-16 12:44:43,R_7F5PCiJFVKZKGLZ,,,,,43.1139,-79.0425,anonymous,EN,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,3,2,2,1,1,1,20416
2024-10-16 12:43:23,2024-10-16 12:45:08,0,139.171.167.230,100,105,1,2024-10-16 12:45:09,R_7GHp22OmPle3PEJ,,,,,43.1139,-79.0425,anonymous,EN,1,1,1,1,1,1,1,2,2,2,3,3,1,2,2,2,2,2,2,1,3,55256
2024-10-16 12:44:41,2024-10-16 12:45:29,0,139.171.223.71,100,48,1,2024-10-16 12:45:29,R_5fxS3wt69fTIxI3,,,,,39.0469,-77.4903,anonymous,EN,1,,2,1,1,2,2,4,4,4,4,4,4,3,2,2,,3,2,3,2,75802
2024-10-16 12:44:47,2024-10-16 12:45:43,0,139.171.160.230,100,55,1,2024-10-16 12:45:43,R_76lGsnDwODk2nEC,,,,,43.1139,-79.0425,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,48948
2024-10-16 12:40:11,2024-10-16 12:46:21,0,137.155.39.19,100,370,1,2024-10-16 12:46:23,R_6SvoavmjgTeVbDU,,,,,37.751,-97.822,anonymous,EN,2,1,1,1,1,1,1,2,3,3,4,4,4,2,2,3,3,3,3,3,3,47631
2024-10-16 12:45:40,2024-10-16 12:46:48,0,162.253.252.133,100,67,1,2024-10-16 12:46:48,R_7qlAGsgZWNavcAm,,,,,45.413,-75.7011,anonymous,EN,1,1,1,1,1,1,1,3,2,2,3,2,4,3,2,2,3,1,1,1,1,28014
2024-10-16 12:44:19,2024-10-16 12:46:58,0,139.171.225.44,100,158,1,2024-10-16 12:46:58,R_6LtBzTsS1KEpPcm,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34343
2024-10-16 12:47:31,2024-10-16 12:48:17,0,209.20.235.208,100,46,1,2024-10-16 12:48:17,R_38OLgaPVl3nsFhT,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,1,1,1,2,3,2,3,2,3,2,2,1,2,2,1,2,2,12995
2024-10-16 12:47:49,2024-10-16 12:48:32,0,139.171.226.69,100,43,1,2024-10-16 12:48:32,R_5QB2oItY95y7ihc,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,1,1,1,1,1,1,66644
2024-10-16 12:47:34,2024-10-16 12:48:40,0,209.20.229.95,100,65,1,2024-10-16 12:48:41,R_7sjE5RlnmomMdXE,,,,,40.9466,-74.1834,anonymous,EN,1,1,1,1,1,1,1,2,3,3,3,2,3,2,2,2,2,3,1,2,2,88897
2024-10-16 12:49:04,2024-10-16 12:50:05,0,209.20.237.248,100,61,1,2024-10-16 12:50:05,R_3ivwy1XkzeQ9KN3,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,55371
2024-10-16 12:48:10,2024-10-16 12:50:19,0,162.253.252.177,100,128,1,2024-10-16 12:50:19,R_5YR0YDaCAIfGNng,,,,,45.413,-75.7011,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,83546
2024-10-16 12:50:07,2024-10-16 12:51:00,0,209.114.11.4,100,53,1,2024-10-16 12:51:01,R_3QGYAg2UKesgsdW,,,,,37.751,-97.822,anonymous,EN,1,2,1,1,1,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,77368
2024-10-16 12:52:32,2024-10-16 12:53:35,0,209.114.24.90,100,62,1,2024-10-16 12:53:35,R_7QFWc1cxOkY3bSF,,,,,37.751,-97.822,anonymous,EN,1,1,2,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,19271
2024-10-16 12:55:55,2024-10-16 12:57:24,0,192.6.64.235,100,88,1,2024-10-16 12:57:24,R_3Z0m2c6Q0IRUrkZ,,,,,37.751,-97.822,anonymous,EN,1,1,2,2,1,2,1,3,3,4,3,3,4,2,2,2,2,2,2,2,2,36327
2024-10-16 12:59:30,2024-10-16 13:01:10,0,209.20.236.78,100,100,1,2024-10-16 13:01:11,R_7LcLBbydjCgXV3n,,,,,37.751,-97.822,anonymous,EN,1,1,2,1,1,1,1,3,3,4,3,4,3,2,2,2,3,1,2,1,2,15125
2024-10-16 12:59:47,2024-10-16 13:01:28,0,139.171.231.66,100,101,1,2024-10-16 13:01:28,R_6siQuwqUGSpOhqB,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,2,2,2,0,2,1,1,3,2,1,1,1,1,1,1,1,1,53126
2024-10-16 12:59:20,2024-10-16 13:02:33,0,192.6.254.88,100,192,1,2024-10-16 13:02:33,R_1ekHQmEAEfdjuko,,,,,45.0702,-93.4556,anonymous,EN,1,1,2,2,1,2,1,4,3,3,3,4,4,2,2,2,2,2,2,2,2,17671
2024-10-16 13:02:03,2024-10-16 13:03:37,0,139.171.231.67,100,94,1,2024-10-16 13:03:38,R_1DNp4iLgm52AfhP,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,2,2,2,0,2,2,2,2,2,1,1,1,1,1,1,1,1,77680
2024-10-16 13:03:18,2024-10-16 13:05:39,0,209.114.29.161,100,140,1,2024-10-16 13:05:39,R_6ceeVzuoK5VAVrH,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,26489
2024-10-16 13:03:10,2024-10-16 13:07:24,0,192.227.111.190,100,253,1,2024-10-16 13:07:25,R_7eVx6psBmdBGoh3,,,,,37.751,-97.822,anonymous,EN,1,1,1,,2,2,2,1,1,3,2,2,2,1,1,2,1,1,1,1,2,79234
2024-10-16 12:46:00,2024-10-16 13:08:49,0,139.171.181.199,100,1369,1,2024-10-16 13:08:50,R_1dWe2g9XudKV8YI,,,,,43.1139,-79.0425,anonymous,EN,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,0,1,97218
2024-10-16 13:09:23,2024-10-16 13:10:11,0,137.155.55.151,100,47,1,2024-10-16 13:10:11,R_6joYELkND7ISuHb,,,,,37.751,-97.822,anonymous,EN,1,1,2,1,1,2,1,4,3,4,2,3,3,2,2,1,2,1,2,1,2,38640
2024-10-16 13:09:25,2024-10-16 13:10:12,0,209.114.11.176,100,46,1,2024-10-16 13:10:13,R_5MzloPA5befmGgc,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,81280
2024-10-16 13:10:08,2024-10-16 13:11:18,0,137.155.127.68,100,69,1,2024-10-16 13:11:18,R_7jOPpIgTVApjgCc,,,,,40.8142,-73.7453,anonymous,EN,1,2,1,2,1,2,1,3,4,4,4,3,4,2,2,3,2,2,2,2,2,89134
2024-10-16 13:11:27,2024-10-16 13:12:38,0,69.91.157.148,100,70,1,2024-10-16 13:12:38,R_63diYjyt9ss8bvz,,,,,37.751,-97.822,anonymous,EN,1,2,1,1,2,1,2,2,1,1,1,0,1,0,1,0,1,1,1,0,1,66300
2024-10-16 13:12:53,2024-10-16 13:13:46,0,137.155.125.73,100,52,1,2024-10-16 13:13:46,R_7BUdvc4yjgPBOBb,,,,,40.8142,-73.7453,anonymous,EN,1,1,2,2,1,2,1,4,3,3,4,3,4,2,2,3,2,2,2,2,2,19395
2024-10-16 13:11:24,2024-10-16 13:19:31,0,69.91.177.255,100,487,1,2024-10-16 13:19:32,R_7eEQRYlenulb4zf,,,,,33.8782,-117.9567,anonymous,EN,1,1,2,1,1,1,1,2,3,2,3,1,3,1,1,1,1,2,1,2,1,44806
2024-10-16 13:20:06,2024-10-16 13:22:23,0,139.171.181.215,100,137,1,2024-10-16 13:22:24,R_5jc9y9jGChsnYf0,,,,,43.1139,-79.0425,anonymous,EN,1,2,1,2,1,1,1,5,4,3,4,3,3,1,1,2,1,2,2,2,2,43475
2024-10-16 13:21:00,2024-10-16 13:22:49,0,207.180.28.146,100,109,1,2024-10-16 13:22:49,R_3W8PqUuko3UDTMJ,,,,,37.751,-97.822,anonymous,EN,1,2,1,2,2,1,2,2,3,2,4,1,2,1,0,2,1,1,2,1,0,14378
2024-10-16 13:34:19,2024-10-16 13:34:51,0,137.155.42.138,100,32,1,2024-10-16 13:34:51,R_3g7aEtngUJJ8Lmz,,,,,37.751,-97.822,anonymous,EN,1,1,2,2,1,1,2,2,1,3,2,2,1,2,1,2,1,1,1,1,1,32797
2024-10-16 13:34:00,2024-10-16 13:35:44,0,198.24.175.130,100,104,1,2024-10-16 13:35:45,R_7Qo75HkKDtkB6LD,,,,,39.018,-77.539,anonymous,EN,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,16867
2024-10-16 13:34:50,2024-10-16 13:36:36,0,154.27.89.181,100,106,1,2024-10-16 13:36:38,R_5ctp6yhPVnBCgOR,,,,,26.7158,-80.0491,anonymous,EN,1,1,1,1,1,1,1,0,1,2,2,3,3,1,2,2,1,2,1,1,2,91458
2024-10-16 13:39:50,2024-10-16 13:40:44,0,139.171.180.151,100,53,1,2024-10-16 13:40:44,R_7KrM83Q5tG6EzT8,,,,,43.1139,-79.0425,anonymous,EN,2,1,1,1,1,1,1,5,5,5,5,5,5,3,3,3,3,3,3,3,3,22461
2024-10-16 13:40:31,2024-10-16 13:41:28,0,192.227.111.190,100,56,1,2024-10-16 13:41:28,R_70ZmOjaAHc3gvqF,,,,,37.751,-97.822,anonymous,EN,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,43777
2024-10-16 13:42:25,2024-10-16 13:43:24,0,139.171.223.215,100,59,1,2024-10-16 13:43:25,R_5qfXXYatCdTAG9b,,,,,39.0469,-77.4903,anonymous,EN,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,62917
2024-10-16 13:37:21,2024-10-16 13:46:40,0,139.171.202.73,100,559,1,2024-10-16 13:46:41,R_6eUKO5PI8cC7zET,,,,,39.0469,-77.4903,anonymous,EN,2,2,2,1,2,1,2,1,2,3,0,1,5,2,3,2,1,3,2,3,1,99693
2024-10-16 13:39:59,2024-10-16 13:50:41,0,139.171.178.205,100,642,1,2024-10-16 13:50:41,R_64Z0EZLTehTTt6h,,,,,43.1139,-79.0425,anonymous,EN,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,0,0,0,90830
2024-10-16 13:52:32,2024-10-16 13:53:14,0,69.91.133.64,100,42,1,2024-10-16 13:53:15,R_6CrhSAxuKp6YDa9,,,,,37.751,-97.822,anonymous,EN,1,2,1,1,2,2,1,2,4,3,5,4,5,3,2,2,2,3,2,2,3,89783
