StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1#1_1,Q1#1_2,Q1#1_3,Q1#1_4,Q1#1_5,Q1#1_6,Q1#1_7,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,RandomSurveyID
2024-10-16 12:42:40,2024-10-16 12:43:03,0,139.171.174.141,100,23,1,2024-10-16 12:43:04,R_7dGTKTipgnFIgYU,,,,,43.1139,-79.0425,anonymous,EN,1,1,1,1,1,1,1,1,1,2,2,1,2,3,2,1,1,2,1,1,1,10076
2024-10-16 12:39:26,2024-10-16 12:43:38,0,139.171.231.34,100,252,1,2024-10-16 12:43:39,R_3pa5kHDl8y35o3b,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95822
2024-10-16 12:41:08,2024-10-16 12:44:17,0,139.171.160.230,100,188,1,2024-10-16 12:44:18,R_1mmcTpSVsuIKMFP,,,,,43.1139,-79.0425,anonymous,EN,1,1,1,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,1,1,94870
2024-10-16 12:42:31,2024-10-16 12:45:09,0,162.253.252.151,100,157,1,2024-10-16 12:45:09,R_5EtJAg3Dx7tUaWw,,,,,45.413,-75.7011,anonymous,EN,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,17617
2024-10-16 12:45:45,2024-10-16 12:46:13,0,209.20.236.162,100,27,1,2024-10-16 12:46:13,R_5pzW9jvoybfZN2F,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,1,1,2,2,2,2,70893
2024-10-16 12:44:07,2024-10-16 12:47:00,0,209.114.4.171,100,172,1,2024-10-16 12:47:00,R_1Xv81yd4WKCd1Zf,,,,,37.751,-97.822,anonymous,EN,2,1,1,2,2,1,2,3,4,4,3,3,5,2,2,1,,1,2,1,2,56651
2024-10-16 12:46:14,2024-10-16 12:47:11,0,139.171.169.83,100,56,1,2024-10-16 12:47:11,R_6nPJvcXSZyuJm7f,,,,,43.1139,-79.0425,anonymous,EN,1,1,1,1,1,1,1,2,1,1,1,,1,1,1,1,1,1,1,1,1,39395
2024-10-16 12:48:09,2024-10-16 12:51:28,0,209.20.204.85,100,199,1,2024-10-16 12:51:29,R_5oGOcTKoGQbfKKf,,,,,42.2284,-88.259,anonymous,EN,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,64121
2024-10-16 12:50:43,2024-10-16 12:52:24,0,209.20.204.28,100,101,1,2024-10-16 12:52:25,R_3XbWqL660zQJJ5L,,,,,42.2168,-88.2445,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,37068
2024-10-16 12:38:13,2024-10-16 12:52:28,0,209.114.16.218,100,854,1,2024-10-16 12:52:29,R_7KVKAuvUcLqvTJ7,,,,,37.751,-97.822,anonymous,EN,2,1,1,1,1,1,1,2,1,2,1,2,2,1,1,0,1,0,0,1,1,60560
2024-10-16 12:42:58,2024-10-16 12:52:47,0,209.114.22.122,100,589,1,2024-10-16 12:52:48,R_6zkYcQmcH8KOJvD,,,,,37.751,-97.822,anonymous,EN,2,1,2,2,2,1,1,2,3,2,2,2,2,2,2,2,1,1,2,3,2,13609
2024-10-16 12:50:38,2024-10-16 12:52:54,0,209.20.237.252,100,136,1,2024-10-16 12:52:54,R_5HH0t7ubp2DkOoq,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,0,1,1,1,60773
2024-10-16 12:52:46,2024-10-16 12:54:07,0,209.20.237.31,100,81,1,2024-10-16 12:54:08,R_6vSFcQNngqZlvzP,,,,,37.751,-97.822,anonymous,EN,1,1,2,1,1,2,1,2,1,2,1,4,3,1,1,1,1,1,1,1,2,44203
2024-10-16 12:53:50,2024-10-16 12:55:11,0,209.20.237.255,100,80,1,2024-10-16 12:55:12,R_7irgGa6z3CesKuz,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,57071
2024-10-16 12:53:30,2024-10-16 12:55:53,0,139.171.149.174,100,142,1,2024-10-16 12:55:53,R_1LdvfWLtne1ULW7,,,,,43.1139,-79.0425,anonymous,EN,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1,70786
2024-10-16 12:57:06,2024-10-16 12:58:40,0,38.255.32.207,100,93,1,2024-10-16 12:58:41,R_1U3eZj8XKdN5fBB,,,,,32.7908,-96.8336,anonymous,EN,1,1,1,1,1,1,1,1,1,3,4,1,3,1,1,1,,1,2,1,2,75612
2024-10-16 12:58:15,2024-10-16 12:59:22,0,139.171.231.63,100,66,1,2024-10-16 12:59:22,R_3tSKJWn5TjKjvEZ,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,79785
2024-10-16 13:01:56,2024-10-16 13:03:07,0,162.217.26.98,100,71,1,2024-10-16 13:03:08,R_6Fyat7OgrO1Pw4C,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,2,2,2,2,2,11093
2024-10-16 12:41:05,2024-10-16 13:06:12,0,137.155.55.158,100,1506,1,2024-10-16 13:06:12,R_5Jh3UkCXF6WjJOy,,,,,37.751,-97.822,anonymous,EN,1,1,2,1,1,2,1,4,3,4,3,3,4,2,2,2,2,,2,2,2,24387
2024-10-16 13:09:51,2024-10-16 13:11:16,0,198.24.175.114,100,85,1,2024-10-16 13:11:18,R_7g872qvXYCN6zan,,,,,39.018,-77.539,anonymous,EN,1,1,1,1,1,2,1,3,1,3,1,3,1,2,1,2,3,1,2,1,2,87943
2024-10-16 13:11:27,2024-10-16 13:12:09,0,139.171.168.247,100,42,1,2024-10-16 13:12:10,R_1TnFtBlgDDwBU1Y,,,,,43.1139,-79.0425,anonymous,EN,1,1,1,1,1,2,2,3,3,2,3,3,4,2,1,2,2,1,2,2,2,39105
2024-10-16 13:12:01,2024-10-16 13:12:53,0,198.24.175.114,100,51,1,2024-10-16 13:12:53,R_3lJjSVH0B0ALJhM,,,,,39.018,-77.539,anonymous,EN,1,1,1,1,1,2,1,4,2,3,1,2,1,2,1,1,1,1,1,2,1,96662
2024-10-16 13:09:28,2024-10-16 13:13:30,0,139.171.163.158,100,241,1,2024-10-16 13:13:31,R_7AvuLAWAizUE6pb,,,,,43.1139,-79.0425,anonymous,EN,2,2,2,2,2,2,2,1,1,1,0,1,0,0,1,0,1,0,1,0,0,76136
2024-10-16 13:13:09,2024-10-16 13:13:52,0,38.154.69.24,100,42,1,2024-10-16 13:13:52,R_3BmQwcSB4iaH3k1,,,,,42.8867,-78.8927,anonymous,EN,1,1,1,1,1,1,1,1,2,1,2,1,1,1,0,1,1,1,1,1,1,25564
2024-10-16 13:13:30,2024-10-16 13:14:16,0,198.24.175.114,100,45,1,2024-10-16 13:14:16,R_6neXnB9gaY0hnGH,,,,,39.018,-77.539,anonymous,EN,1,1,1,1,1,1,1,3,2,1,1,2,1,1,2,1,2,1,2,1,1,52507
2024-10-16 13:06:33,2024-10-16 13:14:18,0,139.171.179.12,100,465,1,2024-10-16 13:14:19,R_3QXhPdSSqKz4mid,,,,,43.1139,-79.0425,anonymous,EN,1,1,1,1,2,2,2,3,2,2,2,3,3,1,1,1,1,1,1,1,1,98700
2024-10-16 13:12:14,2024-10-16 13:15:20,0,38.154.109.16,100,186,1,2024-10-16 13:15:20,R_177sVst5KjqZ4hb,,,,,42.8867,-78.8927,anonymous,EN,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,1,1,1,0,70807
2024-10-16 13:20:02,2024-10-16 13:20:44,0,69.91.181.5,100,42,1,2024-10-16 13:20:45,R_5hatfpcfBvhBRIN,,,,,33.8782,-117.9567,anonymous,EN,1,1,1,1,1,1,1,2,2,2,3,3,2,1,1,1,2,1,2,1,2,71925
2024-10-16 13:23:38,2024-10-16 13:25:01,0,137.155.42.135,100,83,1,2024-10-16 13:25:02,R_1dF3AfnToi5n4Yu,,,,,37.751,-97.822,anonymous,EN,1,1,2,1,1,2,1,1,2,1,3,2,1,1,1,2,1,1,1,2,1,84423
2024-10-16 13:25:18,2024-10-16 13:25:53,0,50.118.222.64,100,34,1,2024-10-16 13:25:54,R_7B4dvIr5j9GhU4j,,,,,37.3931,-121.962,anonymous,EN,1,1,2,1,1,1,2,2,4,2,3,4,3,2,2,1,2,2,2,2,3,10606
2024-10-16 13:25:42,2024-10-16 13:26:28,0,137.155.42.133,100,46,1,2024-10-16 13:26:29,R_6CjKSVUW8MKXkzn,,,,,37.751,-97.822,anonymous,EN,1,1,2,1,1,2,1,2,1,1,2,1,3,2,1,2,1,2,1,1,1,44954
2024-10-16 13:28:17,2024-10-16 13:29:40,0,67.203.7.175,100,83,1,2024-10-16 13:29:41,R_6Eu8glh5r1r3Jjl,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,2,1,44537
2024-10-16 13:28:02,2024-10-16 13:30:58,0,198.24.175.130,100,176,1,2024-10-16 13:30:58,R_1QXUWI7H1mQWGNs,,,,,39.018,-77.539,anonymous,EN,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,0,91979
2024-10-16 13:31:56,2024-10-16 13:32:53,0,198.24.175.114,100,56,1,2024-10-16 13:32:54,R_3qAbNisinoCv3CF,,,,,39.018,-77.539,anonymous,EN,1,1,2,1,2,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,43741
2024-10-16 13:33:08,2024-10-16 13:33:42,0,137.155.42.136,100,34,1,2024-10-16 13:33:43,R_7rkbU7Yhf7P0RTq,,,,,37.751,-97.822,anonymous,EN,1,2,1,1,2,2,1,3,2,3,1,3,2,1,1,2,1,1,1,1,1,35622
2024-10-16 12:37:09,2024-10-16 13:35:32,0,137.155.42.137,100,3502,1,2024-10-16 13:35:32,R_1qsAd6JpoT2tkOp,,,,,37.751,-97.822,anonymous,EN,1,1,2,1,1,1,2,2,1,3,1,3,1,2,1,1,1,2,1,2,1,22394
2024-10-16 13:37:10,2024-10-16 13:39:10,0,139.171.180.150,100,120,1,2024-10-16 13:39:11,R_74aTZrSRtTPTa0h,,,,,43.1139,-79.0425,anonymous,EN,2,1,1,1,1,1,1,5,5,5,5,5,5,3,3,3,3,3,3,3,3,12919
2024-10-16 13:38:12,2024-10-16 13:39:56,0,69.91.133.249,100,103,1,2024-10-16 13:39:58,R_5QsQSICY81OdYNE,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,1,2,1,3,3,3,3,3,4,2,2,2,2,2,2,2,2,11153
2024-10-16 13:37:24,2024-10-16 13:40:14,0,139.171.181.56,100,169,1,2024-10-16 13:40:14,R_1oQPZRLknT9vq7K,,,,,43.1139,-79.0425,anonymous,EN,1,1,1,2,1,1,1,1,1,,,1,1,1,1,,1,,,1,1,92046
2024-10-16 13:45:44,2024-10-16 13:47:24,0,208.207.137.241,100,99,1,2024-10-16 13:47:24,R_514Xg8ChtS2Z61G,,,,,37.751,-97.822,anonymous,EN,2,1,1,1,1,1,1,4,5,3,4,3,4,2,2,2,2,3,,3,2,84884
2024-10-16 13:37:43,2024-10-16 13:50:05,0,139.171.202.98,100,741,1,2024-10-16 13:50:06,R_1xqPH9luJUstZHr,,,,,39.0469,-77.4903,anonymous,EN,2,2,2,1,2,1,2,1,2,3,0,1,5,3,2,2,1,3,2,3,2,97451
2024-10-16 14:02:14,2024-10-16 14:04:07,0,137.155.61.14,100,113,1,2024-10-16 14:04:08,R_31dYHmJv5J8SHqP,,,,,40.5948,-73.9715,anonymous,EN,2,1,2,1,1,1,1,4,4,4,4,4,4,2,2,3,3,3,3,3,3,62177
