StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5_1,Q6_1,Q7_1,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q10_1,Q10_2,Q10_3,Q10_4,RandomSurveyID
2024-10-15 16:54:19,2024-10-15 16:55:10,0,192.126.152.30,100,51,1,2024-10-15 16:55:11,R_7QJGanwBkGdcJxA,,,,,37.751,-97.822,anonymous,EN,3,2,"1,2,3,5",2,3,3,3,1,2,3,1,4,3,1,2,4,42883
2024-10-15 17:00:40,2024-10-15 17:01:28,0,192.25.211.84,100,47,1,2024-10-15 17:01:28,R_1xMe69yj2LF2IOi,,,,,37.751,-97.822,anonymous,EN,3,3,"2,3",3,4,4,4,1,4,2,1,3,2,1,4,3,98310
2024-10-15 16:56:08,2024-10-15 17:01:35,0,137.155.32.168,100,326,1,2024-10-15 17:01:35,R_5dEPIXu9W1yX0e5,,,,,37.751,-97.822,anonymous,EN,4,3,"3,4,5",3,4,4,5,1,4,1,3,2,4,1,3,2,85247
2024-10-15 17:02:20,2024-10-15 17:03:53,0,208.214.160.116,100,93,1,2024-10-15 17:03:53,R_7KxQSEjmQWAQIdD,,,,,40.009,-76.3631,anonymous,EN,4,3,"1,2",3,5,5,5,1,1,3,4,2,3,1,2,4,60455
2024-10-15 17:06:30,2024-10-15 17:08:06,0,207.230.114.99,100,95,1,2024-10-15 17:08:06,R_7lV2K4SCE4yuzT3,,,,,34.0251,-118.1556,anonymous,EN,4,2,"1,2,4",2,5,4,4,1,1,4,2,3,4,3,1,2,55224
2024-10-15 17:07:09,2024-10-15 17:08:36,0,139.171.181.6,100,86,1,2024-10-15 17:08:36,R_31zkCjgYeNKONpf,,,,,43.1139,-79.0425,anonymous,EN,5,3,3,3,4,4,5,1,2,1,4,3,3,2,1,4,94687
2024-10-15 17:07:03,2024-10-15 17:10:01,0,137.155.103.53,100,178,1,2024-10-15 17:10:02,R_69brncfFsMX1Gcg,,,,,37.751,-97.822,anonymous,EN,3,2,4,2,3,2,4,1,1,2,3,4,1,2,3,4,18744
2024-10-15 17:19:43,2024-10-15 17:22:05,0,209.20.255.183,100,142,1,2024-10-15 17:22:06,R_7soGoq4E8jQqiyI,,,,,41.3768,-81.9161,anonymous,EN,1,2,1,2,3,5,5,1,1,3,4,2,1,3,2,4,58504
2024-10-15 17:29:21,2024-10-15 17:35:10,0,139.171.169.209,100,349,1,2024-10-15 17:35:11,R_5Gwiq4yW0y6xs5i,,,,,43.1139,-79.0425,anonymous,EN,3,4,"1,2",3,4,4,5,1,1,2,3,4,1,2,4,3,58225
2024-10-15 17:37:11,2024-10-15 17:40:44,0,139.171.179.160,100,213,1,2024-10-15 17:40:45,R_3rlrSxYceiMgYke,,,,,43.1139,-79.0425,anonymous,EN,3,2,"1,2,3,4,5",2,4,4,4,1,1,2,3,4,1,4,3,2,39702
