StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5_1,Q6_1,Q7_1,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q10_1,Q10_2,Q10_3,Q10_4,RandomSurveyID
2024-10-15 16:47:52,2024-10-15 16:48:31,0,139.171.147.170,100,38,1,2024-10-15 16:48:31,R_52JuvUYZQlqhydi,,,,,43.1139,-79.0425,anonymous,EN,3,3,"1,2,3,4,5",3,1,4,1,1,2,1,3,4,1,2,3,4,73234
2024-10-15 16:48:06,2024-10-15 16:48:36,0,69.91.153.199,100,29,1,2024-10-15 16:48:37,R_3wFjpzLvMFFIQxP,,,,,37.751,-97.822,anonymous,EN,3,3,4,3,4,4,4,1,4,1,2,3,4,1,2,3,57234
2024-10-15 16:47:46,2024-10-15 16:48:47,0,108.181.195.51,100,61,1,2024-10-15 16:48:48,R_1dT6ztZx5e1OHzG,,,,,32.7797,-96.8022,anonymous,EN,5,5,"1,3,4,5",4,5,5,5,1,2,1,3,4,1,3,4,2,33293
2024-10-15 16:48:56,2024-10-15 16:50:04,0,137.155.61.12,100,67,1,2024-10-15 16:50:04,R_1E1bHSDKWsw3H1n,,,,,40.5948,-73.9715,anonymous,EN,4,4,"1,4,5",4,5,5,5,1,4,1,2,3,4,1,2,3,68272
2024-10-15 16:51:05,2024-10-15 16:52:08,0,108.60.212.107,100,63,1,2024-10-15 16:52:09,R_6aXZ8esrcWCgiWX,,,,,32.7825,-97.2993,anonymous,EN,4,5,"1,4,5",4,5,5,4,1,1,2,4,3,1,3,2,4,31361
2024-10-15 16:51:40,2024-10-15 16:53:13,0,137.155.55.155,100,93,1,2024-10-15 16:53:14,R_5GC9bLHRQR8TGec,,,,,40.5948,-73.9715,anonymous,EN,4,3,"1,4,5",3,4,4,3,1,3,2,1,4,2,4,1,3,98890
2024-10-15 16:55:22,2024-10-15 16:56:01,0,137.155.55.156,100,39,1,2024-10-15 16:56:02,R_72ScPvIVDtDhQRe,,,,,40.5948,-73.9715,anonymous,EN,4,3,"1,2,4",3,4,3,3,1,2,1,4,3,2,3,1,4,14992
2024-10-15 16:54:54,2024-10-15 16:57:39,0,139.171.131.10,100,165,1,2024-10-15 16:57:39,R_7EADYXG3DgAJVSQ,,,,,43.1139,-79.0425,anonymous,EN,5,4,"1,3,4",4,5,4,2,1,2,1,3,4,2,1,3,4,28713
2024-10-15 16:55:15,2024-10-15 16:57:57,0,139.171.202.33,100,161,1,2024-10-15 16:57:57,R_5bTwSxoFwiYXoc5,,,,,39.0469,-77.4903,anonymous,EN,4,5,"1,4,5",5,4,3,4,1,1,3,4,2,1,2,4,3,18671
2024-10-15 16:59:13,2024-10-15 17:00:20,0,192.6.173.33,100,66,1,2024-10-15 17:00:21,R_6EYdhpNdRaG8dGc,,,,,37.751,-97.822,anonymous,EN,3,3,"2,3",3,4,4,4,1,3,2,1,4,2,4,1,3,15162
2024-10-15 16:54:59,2024-10-15 17:01:06,0,137.155.55.163,100,366,1,2024-10-15 17:01:06,R_139UuSekE2nbJFs,,,,,37.751,-97.822,anonymous,EN,3,3,4,3,4,4,5,1,4,1,3,2,3,1,4,2,23472
2024-10-15 17:01:27,2024-10-15 17:02:25,0,69.91.133.171,100,58,1,2024-10-15 17:02:26,R_5mA8R6gnljMBr3P,,,,,37.751,-97.822,anonymous,EN,5,4,"3,4,5",3,4,4,4,1,3,1,2,4,3,1,4,2,56715
2024-10-15 17:22:46,2024-10-15 17:23:33,0,137.155.61.10,100,47,1,2024-10-15 17:23:33,R_6pKzmMQx7e7LYnx,,,,,37.751,-97.822,anonymous,EN,5,4,"1,4,5",4,5,5,2,1,4,1,2,3,4,1,2,3,63878
